DOI,Optimization Objectives,Authors,Title,Year,Visual/Structural features supported,Special features,Method Type,Layout Method fully described in paper,Domain,Description of layout algorithm,Evaluation,Constraints / Assumptions,Temporal Model,Checked By,Source,Venue
1https://doi.org/10.1145/1879211.1879219,"Crossings - pair crossings, Wiggles/Bends",Michael Ogawa and Kwan-Liu Ma,Software evolution storylines,2010,"Labels - characters, Other - encoding non-interacting characters",,"Heuristic - Sugiyama-like ordering, Heuristic - greedy coordination",Yes,Software - by developer,"Minimization of wiggle and crossings by using a greedy algorithm that already computes y-coordinates directly. Random order for first timestep. For each interaction, the average y-coordinate in the previous layer is computed. Then the clusters are greedily placed at the desired y-coordinate. The description is not super clear and formal",Look at picture (paper says case study),Interaction grouping,"Discrete, Interaction duration, Non-persistent characters","Alex, Henry",Snowballing,https://dl.acm.org/doi/proceedings/10.1145/1879211ion
10.1145/1842993.1843035,No proper definition,"Kim, Nam Wook, Card, Stuart K., Heer, Jeffrey",Tracing genealogical data with TimeNets,2010,"Genealogy - birth, Labels - characters, Uncertainty",Interactions,Other,Yes,Genealogy,Layout algorithm highly depends on problem domain but is not easily understandable. Mostly given by data itself.,"Look at picture (paper says case study), User study","Equidistant interaction characters, Interaction grouping","Discrete, Non-persistent characters","Alex, Henry",ACM,Proceedings of the International Conference on Advanced Visual Interfaces
10.1109/TVCG.2012.212,"Compactness - limit whitespace, Crossings - pair crossings, Wiggles/Bends - wiggle count","Y. Tanahashi, and K. -L. Ma",Design Considerations for Optimizing Storyline Visualizations,2012,"Labels - characters, Labels - events, Locations",Slots,"Heuristic - Sugiyama-like ordering, Heuristic - genetic algorithm, Heuristic - greedy white space reduction, Pipeline",Yes,Movies/Books,"Minimization of wiggle, crossings, and whitespace by genetic algorithm with postprocessing. Interactions can be multiple timesteps long. A genome assigns each interaction an integer $y$-slot. To evaluate a genome, a pipeline approach of rearranging lines inside slots and removing whitespace is applied and then a fitness function is employed that measures wiggle and crossings. To rearrange lines inside a slot, lines are categorized and greedily made as straight as possible. Minimizing whitespace greedily shifts slot segments (Connected clusters inside a slot) down. An adaptation incorporating locations is presented, where a fixed order of locations is also encoded with a genome.",Look at picture (paper says case study),"Equidistant interaction characters, Interaction grouping","Discrete, Interaction duration, Non-persistent characters","Alex, Henry",IEEE,IEEE Transactions on Visualization and Computer Graphics
10.1109/TVCG.2013.196,"Compactness - limit whitespace, Crossings - pair crossings, Wiggles/Bends - quadratic wiggle height, Wiggles/Bends - wiggle count","S. Liu, and Y. Wu, and E. Wei, and M. Liu, and Y. Liu",StoryFlow: Tracking the Evolution of Stories,2013,Locations,"Interactions, Locations","Exact - Linear Programming, Heuristic - Longest Common Subsequence wiggle count minimization, Heuristic - Sugiyama-like ordering, Heuristic - greedy, Pipeline",Yes,Movies/Books,"Pipeline approach. First reducing crossings, then wiggle number, then wiggle distance, and whitespace. After locations are sorted greedily, crossings are optimized as in standard storylines but with the location restrictions. This is done in Sugiyama style, barycenter heuristic considering the hierarchy.
To minimize the wiggle count in the next step, the problem is heuristically reduced to the longest common subsequence problem.
Next, given the ordering constraints and constraints on some lines being straight, a quadratic program minimizes squared wiggle height and white space given two weights.","Expert interview, Look at picture (paper says case study), Quantitative metrics (crossings etc)","Equidistant interaction characters, Interaction grouping, Minimum character separation, Single cluster/location ordering","Discrete, Interaction duration, Non-persistent characters","Alex, Henry",IEEE,IEEE Transactions on Visualization and Computer Graphics
10.1109/CW.2013.36,None,"J. -K. Chou, and I. Liao, and K. -L. Ma, and C. -K. Yang",A Study on Enhancing Timeline-Like Visualization with Verbal Text,2013,Audio Annotations,,None,Yes,Social - other,,User study,,Discrete,"Alex, Henry",IEEE,2013 International Conference on Cyberworlds
,None,Erk Ediz Akyiğit; Tuğkan Cengiz; Onur Burak Yildirim; Selim Balcisoy,Visual exploratory tool for storyline generation,2014,,Data generation tool,None,Yes,Movies/Books,,,,,"Alex, Henry",Snowballing,2014 IEEE Conference on Visual Analytics Science and Technology (VAST)
,"Crossings - pair crossings, Wiggles/Bends - quadratic wiggle height","Makarand Tapaswi, Martin Bauml, Rainer Stiefelhagen",StoryGraphs: Visualizing Character Interactions as a Timeline,2014,"Labels - characters, Other - encoding non-interacting characters",,"Heuristic - gradient descent, Heuristic - objective abstraction",Yes,Video scene detection,"A ccombined objective function of proximity, squared wiggle height, and
crossings is given. It computes coordinates. The crossing ob-
jective is abstracted into a heuristic one (pseudo-Huber loss)
that is differentiable. Then matlab fmincon is used to compute
a solution with small combined objective function.

Proximity models that characters an interactions are together. Separation models a minimum separation between characters.

Alough there is a quantitative study, this is on the scene detection from video and not on the storyline.",,,"Discrete, Non-persistent characters","Alex, Henry",Snowballing,Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition (CVPR) 2014
,"Compactness - limit whitespace, Crossings - pair crossings, Wiggles/Bends - wiggle height",Qiang Lu; Xiang-yuan Zhu; Li Liu; Shu-bo Cao,An effective demonstration for group collaboration based on storyline visualization technology,2014,Labels - characters,"Interactions, Locations","Exact - Linear Programming, Heuristic - Sugiyama-like ordering, Pipeline",Yes,Project - by person,"Crossings are minimized by a sugiyama style sweep.
A greedy algorithm is used for one step, but the given refer-
ence for that algorithm is not in the paper. It is not properly
described how wiggle and whitespace is minimize, at least not understandable to me. 

Wiggle height and whitespace is minimized with linear programming as far as I understand, even though the paper says wiggle count is minimized.",User study,"Equidistant interaction characters, Interaction grouping","Discrete, Interaction duration, Persistent characters","Alex, Henry",Snowballing,Proceedings of the 2014 IEEE 18th International Conference on Computer Supported Cooperative Work in Design (CSCWD)
,"Distance approximation, Wiggles/Bends - quadratic wiggle height",Pascal Held; Christian Braune; Rudolf Kruse,Exploring Dinofun park happenings,2015,Labels - characters,,Exact - Linear Programming,Yes,Movement data,"Real-world time series with distance values. The
quadratic difference to the real world distance plus squared
wiggle height is minimized. A proper objective function is
given, but the method to minimize it is not described.",Look at picture (paper says case study),,"Discrete, Persistent characters","Alex, Henry",Snowballing,2015 IEEE Conference on Visual Analytics Science and Technology (VAST)
,"Crossings - pair crossings, Wiggles/Bends","Shejuti Silvia, June Abbas, Sam Huskey, Chris Weaver",Storyline Visualization with Force Directed Layout,2015,"Labels - characters, Labels - events",,Heuristic - force-based approach,Yes,Critical editions,"Using force-directed algorithm only for y-coordinate.
Nodes in an interaction attract each other. Nodes connected
by an edge attract each other (same entity over consecitive
timesteps). Nodes in an interaction repulse each other.",,,"Discrete, Persistent characters","Alex, Henry",Snowballing,"The Digital Latin Library Project, The University of Oklahoma"
